token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB100	0	0	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=0.06	_	_	_	_
0-1	PSB100	0	0	1	oh	oh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PSB100	0	0	2	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PSB100	0	0	3	ne	ne	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PSB100	0	0	4	so	so	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PSB100	0	0	5	io	io	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
0-6	PSB100	0	0	6	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-7	PSB100	0	0	7	cioè	cioè	_	_	_	_	_	linguistic	_	none	_	End=1.62	_	_	_	_
1-0	PSB099	1	1	0	e:hm	ehm	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=2.47	0x1	_	_	_
1-1	PSB099	1	1	1	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
1-2	PSB099	1	1	2	finisce	finisce	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	PSB099	1	1	3	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-4	PSB099	1	1	4	mezzanotte	mezzanotte	_	_	_	_	_	linguistic	_	none	_	End=5.28	_	_	_	_
2-0	PSB100	2	2	0	AH	ah	_	_	_	_	_	linguistic	_	none	Volume=high	Begin=5.28	_	_	_	_
2-1	PSB100	2	2	1	okay	okay	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PSB100	2	2	2	allora	allora	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PSB100	2	2	3	davvero	davvero	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PSB100	2	2	4	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
