token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB104	0	0	0	allora	allora	_	_	_	_	_	linguistic	_	none	_	Begin=1.55	_	_	_	_
0-1	PSB104	0	0	1	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PSB104	0	0	2	voglio	voglio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PSB104	0	0	3	troppo	troppo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PSB104	0	0	4	sapere	sapere	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PSB104	0	0	5	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PSB104	0	0	6	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	PSB104	0	0	7	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-8	PSB104	0	0	8	c(io)è	cioè	_	_	_	_	_	linguistic	_	none	_	_	_	_	1-3(0)	_
0-9	PSB104	0	0	9	proprio	proprio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-10	PSB104	0	0	10	da	da	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-11	PSB104	0	0	11	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-12	PSB104	0	0	12	settimana	settimana	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-13	PSB104	0	0	13	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-14	PSB104	0	0	14	visto	visto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-15	PSB104	0	0	15	gli	gli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-16	PSB104	0	0	16	ultimi	ultimi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
