token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB005	0	0	0	bene	bene	_	_	_	_	_	linguistic	_	none	_	Begin=0.7|End=1.348	_	_	_	_
1-0	PSB005	1	1	0	allora	allora	_	_	_	_	_	linguistic	_	none	_	Begin=1.77|End=2.353	_	_	_	_
2-0	PSB005	2	2	0	intanto,	intanto	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	Begin=2.77|End=3.528	_	_	_	_
3-0	PSB005	3	3	0	ero	ero	_	_	_	_	_	linguistic	_	none	_	Begin=4.3	_	_	_	_
3-1	PSB005	3	3	1	curiosa	curiosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PSB005	3	3	2	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PSB005	3	3	3	sapere	sapere	_	_	_	_	_	linguistic	_	none	_	End=5.693	_	_	_	_
4-0	PSB005	4	4	0	da	da	_	_	_	_	_	linguistic	_	none	_	Begin=5.82	_	_	_	_
4-1	PSB005	4	4	1	quanto	quanto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PSB005	4	4	2	tempo	tempo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	PSB005	4	4	3	c'	c'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
4-4	PSB005	4	4	4	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	PSB005	4	4	5	questo	questo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-6	PSB005	4	4	6	negozio	negozio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-7	PSB005	4	4	7	perché	perché	_	_	_	_	_	linguistic	_	none	_	End=7.72	_	_	_	_
5-0	PSB005	5	5	0	io	io	_	_	_	_	_	linguistic	_	none	_	Begin=7.8	_	_	_	_
5-1	PSB005	5	5	1	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	PSB005	5	5	2	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	PSB005	5	5	3	qui	qui	_	_	_	_	_	linguistic	_	none	_	End=8.689	_	_	_	_
6-0	PSB005	6	6	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=9.23	_	_	_	_
6-1	PSB005	6	6	1	frequento	frequento	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	PSB005	6	6	2	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-3	PSB005	6	6	3	po'	po'	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-4	PSB005	6	6	4	questa	questa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-5	PSB005	6	6	5	zona	zona	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-6	PSB005	6	6	6	ma	ma	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-7	PSB005	6	6	7	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-8	PSB005	6	6	8	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
6-9	PSB005	6	6	9	avevo	avevo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-10	PSB005	6	6	10	mai	mai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-11	PSB005	6	6	11	visto	visto	_	_	_	_	_	linguistic	_	none	_	End=11.614	_	_	_	_
7-0	PSB029	7	7	0	no	no	_	_	_	_	_	linguistic	_	none	_	Begin=11.82	_	_	_	_
7-1	PSB029	7	7	1	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PSB029	7	7	2	[è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(0)
7-3	PSB029	7	7	3	così]	così	_	_	_	_	_	linguistic	_	none	_	End=12.96	_	_	_	0-4(0)
8-0	PSB005	8	8	0	[strana]mente	stranamente	_	_	_	_	_	linguistic	_	none	_	Begin=12.53|End=13.25	_	_	_	0-6(0)
9-0	PSB029	9	9	0	questo	questo	_	_	_	_	_	linguistic	_	none	_	Begin=13.3	_	_	_	_
9-1	PSB029	9	9	1	negozio	negozio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	PSB029	9	9	2	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-3	PSB029	9	9	3	già	già	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-4	PSB029	9	9	4	da	da	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-5	PSB029	9	9	5	ventidue	ventidue	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-6	PSB029	9	9	6	anni	anni	_	_	_	_	_	linguistic	_	none	_	End=15.92	_	_	_	_
10-0	PSB005	10	10	0	okay	okay	_	_	_	_	_	linguistic	_	none	_	Begin=16.22	_	_	_	_
10-1	PSB005	10	10	1	[quindi	quindi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-6(1)
10-2	PSB005	10	10	2	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(1)
10-3	PSB005	10	10	3	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(1)
10-4	PSB005	10	10	4	nuovo]	nuovo	_	_	_	_	_	linguistic	_	none	_	End=17.92	_	_	_	0-5(1)
11-0	PSB029	11	11	0	[sono	sono	_	_	_	_	_	linguistic	_	none	_	Begin=16.87	_	_	_	0-4(1)
11-1	PSB029	11	11	1	qui	qui	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(1)
11-2	PSB029	11	11	2	da	da	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(1)
11-3	PSB029	11	11	3	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(1)
11-4	PSB029	11	11	4	an]ni	anni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(1)
11-5	PSB029	11	11	5	no	no	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-6	PSB029	11	11	6	no	no	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-7	PSB029	11	11	7	no	no	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-8	PSB029	11	11	8	questo	questo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-9	PSB029	11	11	9	qua	qua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-10	PSB029	11	11	10	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-11	PSB029	11	11	11	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-12	PSB029	11	11	12	nuovo	nuovo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-13	PSB029	11	11	13	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-14	PSB029	11	11	14	prima	prima	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-15	PSB029	11	11	15	era	era	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-16	PSB029	11	11	16	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-17	PSB029	11	11	17	@nomenegozio	@nomenegozio	_	_	_	_	_	anonymized	_	none	_	End=21.82	_	_	_	_
12-0	PSB029	12	12	0	poi	poi	_	_	_	_	_	linguistic	_	none	_	Begin=22.65	_	_	_	_
12-1	PSB029	12	12	1	hanno::	hanno	_	_	_	_	_	linguistic	_	none	_	_	4x2	_	_	_
12-2	PSB029	12	12	2	<chiuso>	chiuso	_	_	_	_	_	linguistic	_	none	_	_	_	Slow=0-6(0)	_	_
12-3	PSB029	12	12	3	allora::	allora	_	_	_	_	_	linguistic	_	none	_	_	5x2	_	_	_
12-4	PSB029	12	12	4	già	già	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-5	PSB029	12	12	5	comprato	comprato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-6	PSB029	12	12	6	un'	un'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
12-7	PSB029	12	12	7	altra	altra	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-8	PSB029	12	12	8	persona	persona	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-9	PSB029	12	12	9	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-10	PSB029	12	12	10	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-11	PSB029	12	12	11	fatta	fatta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-12	PSB029	12	12	12	copisteria	copisteria	_	_	_	_	_	linguistic	_	none	_	End=28.14	_	_	_	_
13-0	PSB005	13	13	0	okay	okay	_	_	_	_	_	linguistic	_	none	_	Begin=28.3|End=28.6	_	_	_	_
14-0	PSB029	14	14	0	poi	poi	_	_	_	_	_	linguistic	_	none	_	Begin=29.167	_	_	_	_
14-1	PSB029	14	14	1	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-2	PSB029	14	14	2	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-3	PSB029	14	14	3	da	da	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-4	PSB029	14	14	4	terza	terza	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-5	PSB029	14	14	5	mano	mano	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-6	PSB029	14	14	6	che:::	che	_	_	_	_	_	linguistic	_	none	_	_	2x3	_	_	_
14-7	PSB029	14	14	7	i:-	i-	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	0x1	_	_	_
14-8	PSB029	14	14	8	andando	andando	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-9	PSB029	14	14	9	avanti	avanti	_	_	_	_	_	linguistic	_	none	_	End=33.36	_	_	_	_
15-0	PSB005	15	15	0	mhmh	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=33.68	_	_	_	_
15-1	PSB005	15	15	1	okay	okay	_	_	_	_	_	linguistic	_	none	_	End=34.48	_	_	_	_
16-0	PSB005	16	16	0	m:h	mh	_	_	_	_	_	linguistic	_	none	_	Begin=34.86	0x1	_	_	_
16-1	PSB005	16	16	1	noi	noi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-2	PSB005	16	16	2	siamo	siamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-3	PSB005	16	16	3	venuti	venuti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-4	PSB005	16	16	4	qui	qui	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-5	PSB005	16	16	5	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-6	PSB005	16	16	6	chiedere	chiedere	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-7	PSB005	16	16	7	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-8	PSB005	16	16	8	te	te	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-9	PSB005	16	16	9	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-10	PSB005	16	16	10	disponibilità	disponibilità	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-11	PSB005	16	16	11	perché	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-12	PSB005	16	16	12	il~	il~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
16-13	PSB005	16	16	13	l~	l~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
16-14	PSB005	16	16	14	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-15	PSB005	16	16	15	verità	verità	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-16	PSB005	16	16	16	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-17	PSB005	16	16	17	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-18	PSB005	16	16	18	siamo	siamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
