token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB005	0	0	0	perché	perché	_	_	_	_	_	linguistic	_	none	_	Begin=0.01	_	_	_	_
0-1	PSB005	0	0	1	tu	tu	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PSB005	0	0	2	c~	c~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
0-3	PSB005	0	0	3	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PSB005	0	0	4	due	due	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PSB005	0	0	5	figlie	figlie	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PSB005	0	0	6	hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	PSB005	0	0	7	detto	detto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-8	PSB005	0	0	8	no?	no	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=2.224	_	_	_	_
1-0	PSB037	1	1	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=2.53|End=2.86	_	_	_	_
2-0	PSB005	2	2	0	cosa::	cosa	_	_	_	_	_	linguistic	_	none	_	Begin=2.9	3x2	_	_	_
2-1	PSB005	2	2	1	cosa	cosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PSB005	2	2	2	fanno	fanno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PSB005	2	2	3	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PSB005	2	2	4	tue	tue	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	PSB005	2	2	5	figlie?	figlie	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=4.89	_	_	_	_
3-0	PSB037	3	3	0	allora	allora	_	_	_	_	_	linguistic	_	none	_	Begin=6.481	_	_	_	_
3-1	PSB037	3	3	1	°eh°	eh	_	_	_	_	_	linguistic	_	none	Volume=low	_	_	_	_	_
3-2	PSB037	3	3	2	due	due	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PSB037	3	3	3	figlie	figlie	_	_	_	_	_	linguistic	_	none	_	End=8.109	_	_	_	_
4-0	PSB005	4	4	0	mhmh	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=8.13|End=8.52	_	_	_	_
5-0	PSB037	5	5	0	io	io	_	_	_	_	_	linguistic	_	none	_	Begin=8.52	_	_	_	_
5-1	PSB037	5	5	1	secondo	secondo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	PSB037	5	5	2	me:	me	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	1x1	_	_	_
5-3	PSB037	5	5	3	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
5-4	PSB037	5	5	4	cerchiamo	cerchiamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	PSB037	5	5	5	tutte	tutte	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-6	PSB037	5	5	6	laurearsi	laurearsi	_	_	_	_	_	linguistic	_	none	_	End=12.1	_	_	_	_
6-0	PSB005	6	6	0	mhmh	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=12.46|End=12.939	_	_	_	_
7-0	PSB005	7	7	0	è	è	_	_	_	_	_	linguistic	_	none	_	Begin=13.31	_	_	_	_
7-1	PSB005	7	7	1	[importante]	importante	_	_	_	_	_	linguistic	_	none	_	End=14.091	_	_	_	0-10(2)
8-0	PSB037	8	8	0	[eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=13.44	_	_	_	0-2(2)
8-1	PSB037	8	8	1	que~]	que~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	0-4(2)
8-2	PSB037	8	8	2	que~	que~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
8-3	PSB037	8	8	3	questo	questo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-4	PSB037	8	8	4	era	era	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
