code	occupation	gender	conversations	birth-region	age-range	study-level	mothertongue	age-of-arrival-italy	years-in-italy
PSB001	2-Professionals	F	SBIC001	cina	31-35	phd	cinese mandarino	26-30	04-05
PSB002	0-Students	F	SBIC001	cina	26-30	university-degree-ongoing	cinese mandarino; lingua sinitica	21-25	04-05
PSB003	0-Students	F	SBIC002	cina	26-30	university-degree-ongoing	cinese mandarino	21-25	06-07
PSB004	0-Students	F	SBIC002	cina	26-30	university-degree-ongoing	cinese mandarino	26-30	02-03
PSB005	2-Professionals	F	SBCB002;SBCB006;SBCB007;SBCU001;SBCU002;SBCU007;SBCU007bis;SBCU007tris;SBCU008;SBCU008bis;SBIA002;SBIA003;SBIA004;SBIA005;SBIA008;SBIA011;SBIA012;SBIA013;SBIA014;SBIB001;SBIB002;SBIB003;SBIB004;SBIB007;SBIB009;SBIB010;SBIB011;SBIB012;SBIB013;SBIC001;SBIC002;SBIC004;SBIC005;SBIC006;SBIC008;SBIC009;SBIC010;SBIC012;SBIU001;SBIU002;SBIU004;SBIU005;SBIU006;SBIU007;SBIU009;SBIU010;SBIC011	emilia-romagna	31-35	phd	italiano	N/A	N/A
PSB007	2-Professionals	F	SBIU001	ucraina	31-35	phd	russo; ucraino	31-35	02-03
PSB008	2-Professionals	F	SBIC004	cina	26-30	university-degree	cinese mandarino; coreano	26-30	02-03
PSB009	2-Professionals	F	SBIC005	cina	21-25	university-degree	cinese mandarino	21-25	0-1
PSB010	6-Craft-Workers	F	SBIU002	ucraina	51-55	university-degree	ucraino	31-35	22-23
PSB011	2-Professionals	F	SBIU003	lombardia	41-45	phd	italiano	N/A	N/A
PSB012	8-Elementary	F	SBIU003	ucraina	26-30	university-degree	rumeno; moldavo	21-25	06-07
PSB013	2-Professionals	M	SBIC006	cina	26-30	university-degree	cinese mandarino	21-25	06-07
PSB014	0-Students	F	SBIA006;SBIC007	sicilia	21-25	university-degree-ongoing	italiano; arabo	N/A	N/A
PSB016	8-Elementary	M	SBIA002	marocco	36-40	foreign-diploma	arabo	21-25	12-13
PSB017	8-Elementary	M	SBIA002;SBIA004	marocco	41-45	foreign-diploma	arabo	26-30	18-19
PSB018	2-Professionals	F	SBIU004	ucraina	41-45	university-degree	russo; ucraino	41-45	02-03
PSB019	2-Professionals	F	SBIU005	ucraina	26-30	university-degree	ucraino	11-15	14-15
PSB020	0-Students	F	SBIU006	ucraina	31-35	university-degree-ongoing	ucraino	31-35	02-03
PSB021	0-Students	F	SBIB001	emilia-romagna	16-20	middle-school	italiano; bengalese	N/A	discontinuo
PSB022	0-Retired	F	SBCU001	ucraina	76-80	foreign-diploma	russo	46-50	24-25
PSB023	8-Elementary	M	SBIA003	marocco	41-45	middle-school	arabo	21-25	18-19
PSB024	8-Elementary	M	SBIA003	marocco	51-55	foreign-diploma	arabo	36-40	18-19
PSB025	8-Elementary	M	SBIA004	marocco	36-40	foreign-diploma	arabo	16-20	18-19
PSB026	5-Service-Workers	M	SBIB002	bangladesh	36-40	university-degree	bengalese	21-25	14-15
PSB027	8-Elementary	M	SBIA005	marocco	56-60	university-degree	arabo	31-35	24-25
PSB028	0-Students	F	SBIB002;SBIB005;SBIB008	calabria	21-25	university-degree-ongoing	italiano	N/A	N/A
PSB029	5-Service-Workers	M	SBIB003	bangladesh	31-35	technical-vocational-diploma	bengalese	16-20	14-15
PSB030	3-Technicians	F	SBIU007	ucraina	46-50	university-degree	ucraino	41-45	02-03
