tu_id	speaker	start	end	parent_tu_id	text
51	PSB128_trad	77.880	81.420	50	dai le istruzioni
186	PSB091_trad	253.660	255.258	185	questo si mangia con il cucchiaio
188	PSB091_trad	255.310	257.204	187	perché altrimenti si attacca tutto
191	PSB128_trad	258.360	259.033	190	bene
194	PSB128_trad	260.730	261.701	193	non si può
200	PSB128_trad	271.570	272.231	199	arrivata per mangiare
202	PSB128_trad	272.942	274.419	201	l'acqua l'acqua si sta già scaldando
204	PSB086_trad	274.690	275.554	203	già scaldando
232	PSB091_trad	318.580	319.450	231	bisogna aggiungere un pochino
239	PSB091_trad	327.110	328.288	238	quello lì
249	PSB091_trad	339.600	343.500	248	guarda non faccio così vai
252	PSB091_trad	344.673	347.327	251	ancora ancora ancora
262	PSB091_trad	352.740	356.067	261	noi facciamo molto spesso questo condimento
305	PSB086_trad	416.080	416.444	304	con amarena
358	PSB091_trad	481.407	481.920	357	lo vuoi? tieni
360	PSB091_trad	482.040	482.810	359	no chiedo
363	PSB091_trad	483.171	484.321	362	non voglio che qualcuno dica che sono stata io
365	PSB128_trad	484.340	485.833	364	no per carità
376	PSB128_trad	496.979	498.742	375	calmati
382	PSB128_trad	503.990	506.101	381	xx cavolo xx
388	PSB128_trad	508.170	509.770	387	ho un atteggiamento positivo verso tutto
454	PSB128_trad	596.770	599.097	453	ho già i capelli bianchi
459	PSB128_trad	605.400	608.533	458	vi racconterò vi racconterò una favola
519	PSB128_trad	732.140	740.939	518	vuoi ancora o no? perché insomma sarebbe meglio un pochino così è tutto
564	PSB128_trad	814.540	817.246	563	e se anche tu hai fatto la pasta senza niente?
566	PSB091_trad	817.630	819.007	565	senza niente
568	PSB128_trad	820.120	823.540	567	e xxx va data anche quella
689	PSB127_trad	1004.177	1007.630	688	quali xx devono essere? dai un'occhiata per favore @ala
691	PSB091_trad	1007.690	1010.586	690	devono essere un po' spessi per poterli stendere bene
694	PSB091_trad	1012.389	1013.677	693	qui un po'
696	PSB127_trad	1013.531	1014.803	695	stendere stendere
698	PSB127_trad	1015.575	1019.505	697	pieghe sì?
763	PSB127_trad	1091.879	1093.354	762	dobbiamo trovare i cucchiaini piccoli si?
802	PSB128_trad	1138.930	1140.409	801	qualcuno taglia?
1076	PSB086_trad	1575.500	1577.234	1075	cistifellea
1078	PSB128_trad	1575.510	1578.215	1077	bile
1084	PSB128_trad	1579.070	1580.149	1083	cistifellea
