tu_id	speaker	start	end	parent_tu_id	text
786	PSB159_trad	1292.419	1292.987	785	interno
1507	PSB159_trad	2644.920	2646.207	1506	portami gli occhiali per favore
1548	PSB160_trad	2735.040	2736.240	1547	tieni qui
1550	PSB160_trad	2736.640	2737.560	1549	dai dai giochiamo (forma idiomatica per dire accetto una sfida o per prendere iniziativa nel fare qualcosa)
1563	PSB159_trad	2756.427	2757.247	1562	signora
1568	PSB159_trad	2761.874	2763.364	1567	sono in ritardo
1570	PSB159_trad	2763.508	2766.144	1569	portami il portafoglio
1573	PSB159_trad	2767.440	2768.327	1572	dalla mia borsa
1575	PSB159_trad	2769.600	2770.580	1574	in bocca al lupo
1582	PSB159_trad	2775.840	2777.320	1581	tu non ti sei ancora sottoscritto? ti segno
1759	PSB159_trad	3125.535	3127.267	1758	quando sono venuta quanti anni avevo?
1973	PSB159_trad	3456.447	3457.216	1972	bravo
2052	PSB160_trad	3580.310	3582.710	2051	basta tu c'hai rotto un po' le scatole
