token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB084	0	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=1.993	_	_	_	_
0-1	PSB084	0	1	e:h	eh	_	_	_	_	_	linguistic	_	none	_	End=2.8	0x1	_	_	_
1-0	PSB083	1	0	praticamente	praticamente	_	_	_	_	_	linguistic	_	none	_	Begin=6.51	_	_	_	_
1-1	PSB083	1	1	hanno	hanno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	PSB083	1	2	cambiato	cambiato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	PSB083	1	3	treno	treno	_	_	_	_	_	linguistic	_	none	_	End=8.407	_	_	_	_
2-0	PSB084	2	0	mh?	mh	_	_	_	_	_	linguistic	_	none	Intonation=Rising	Begin=9.39|End=9.89	_	_	_	_
3-0	PSB083	3	0	solo	solo	_	_	_	_	_	linguistic	_	none	_	Begin=10.19	_	_	_	_
3-1	PSB083	3	1	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PSB083	3	2	ero	ero	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PSB083	3	3	già	già	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	PSB083	3	4	sul	sul	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-5	PSB083	3	5	treno	treno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	PSB083	3	6	e:	e	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	_
3-7	PSB083	3	7	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-8	PSB083	3	8	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-9	PSB083	3	9	sentito	sentito	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-10	PSB083	3	10	e:	e	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	_
3-11	PSB083	3	11	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-12	PSB083	3	12	preso	preso	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-13	PSB083	3	13	quello	quello	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-14	PSB083	3	14	sbagliato	sbagliato	_	_	_	_	_	linguistic	_	none	_	End=14.35	_	_	_	_
4-0	PSB085	4	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=12.62|End=13.738	_	_	_	_
5-0	PSB084	5	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=14.0|End=14.53	_	_	_	_
6-0	PSB085	6	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=14.66|End=15.26	_	_	_	_
7-0	PSB084	7	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=14.97	_	_	_	_
7-1	PSB084	7	1	dove	dove	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PSB084	7	2	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	PSB084	7	3	andato?	andato	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=16.207	_	_	_	_
8-0	PSB083	8	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=16.84	_	_	_	_
8-1	PSB083	8	1	stavo	stavo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-2	PSB083	8	2	andando	andando	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-3	PSB083	8	3	a:	a	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	_
8-4	PSB083	8	4	[padova]	padova	_	_	_	_	_	linguistic	_	none	_	End=18.54	_	_	_	0-6(3)
9-0	PSB084	9	0	[v~]	v~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	Begin=18.26|End=18.58	_	_	_	0-2(3)
10-0	PSB084	10	0	venite	venite	_	_	_	_	_	linguistic	_	none	_	Begin=19.06|End=19.71	_	_	_	_
11-0	PSB085	11	0	sai	sai	_	_	_	_	_	linguistic	_	none	_	Begin=21.7	_	_	_	_
11-1	PSB085	11	1	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-2	PSB085	11	2	eh	eh	_	_	_	_	_	linguistic	_	none	_	End=22.39	_	_	_	_
12-0	PSB085	12	0	la	la	_	_	_	_	_	linguistic	_	none	_	Begin=22.82	_	_	_	_
12-1	PSB085	12	1	prima	prima	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-2	PSB085	12	2	volta	volta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-3	PSB085	12	3	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-4	PSB085	12	4	te	te	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-5	PSB085	12	5	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-6	PSB085	12	6	vedo	vedo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-7	PSB085	12	7	indosso	indosso	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-8	PSB085	12	8	[ti	ti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(4)
12-9	PSB085	12	9	stanno	stanno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-6(4)
12-10	PSB085	12	10	bene]	bene	_	_	_	_	_	linguistic	_	none	_	End=25.43	_	_	_	0-4(4)
13-0	PSB084	13	0	[belle	belle	_	_	_	_	_	linguistic	_	none	_	Begin=24.33	_	_	_	0-5(4)
13-1	PSB084	13	1	(que]lle)	quelle	_	_	_	_	_	linguistic	_	none	_	_	_	_	0-6(0)	0-3(4)
13-2	PSB084	13	2	scar[pe]	scarpe	_	_	_	_	_	linguistic	_	none	_	End=26.09	_	_	_	4-6(5)
14-0	PSB085	14	0	[m]:h	mh	_	_	_	_	_	linguistic	_	none	_	Begin=25.91|End=26.39	0x1	_	_	0-1(5)
15-0	PSB084	15	0	son	son	_	_	_	_	_	linguistic	_	none	_	Begin=26.48	_	_	_	_
15-1	PSB084	15	1	comode	comode	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-2	PSB084	15	2	perché	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-3	PSB084	15	3	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
15-4	PSB084	15	4	alte	alte	_	_	_	_	_	linguistic	_	none	_	End=28.18	_	_	_	_
16-0	PSB085	16	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=28.31	_	_	_	_
16-1	PSB085	16	1	hanno	hanno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-2	PSB085	16	2	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-3	PSB085	16	3	po':	po'	_	_	_	_	_	linguistic	_	none	_	End=29.74	1x1	_	_	_
17-0	PSB084	17	0	m[:h]	mh	_	_	_	_	_	linguistic	_	none	_	Begin=30.11|End=30.4	0x1	_	_	1-2(6)
18-0	PSB085	18	0	[mi	mi	_	_	_	_	_	linguistic	_	none	_	Begin=30.269	_	_	_	0-2(6)
18-1	PSB085	18	1	me]tto	metto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(6)
18-2	PSB085	18	2	qua	qua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-3	PSB085	18	3	io?	io	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=31.29	_	_	_	_
19-0	PSB084	19	0	metti	metti	_	_	_	_	_	linguistic	_	none	_	Begin=31.57	_	_	_	_
19-1	PSB084	19	1	dove	dove	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-2	PSB084	19	2	vuoi	vuoi	_	_	_	_	_	linguistic	_	none	_	End=32.56	_	_	_	_
20-0	PSB085	20	0	o:ddio	oddio	_	_	_	_	_	linguistic	_	none	_	Begin=34.09|End=34.76	0x1	_	_	_
21-0	PSB085	21	0	o:h	oh	_	_	_	_	_	linguistic	_	none	_	Begin=35.02|End=35.65	0x1	_	_	_
22-0	PSB084	22	0	allora	allora	_	_	_	_	_	linguistic	_	none	_	Begin=36.655|End=37.317	_	_	_	_
23-0	PSB084	23	0	non	non	_	_	_	_	_	linguistic	_	none	_	Begin=38.11	_	_	_	_
23-1	PSB084	23	1	so	so	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
23-2	PSB084	23	2	se	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
23-3	PSB084	23	3	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
23-4	PSB084	23	4	ca~	ca~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
23-5	PSB084	23	5	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
23-6	PSB084	23	6	caldo	caldo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
23-7	PSB084	23	7	molto	molto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
23-8	PSB084	23	8	perché	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
23-9	PSB084	23	9	così	così	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
23-10	PSB084	23	10	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
23-11	PSB084	23	11	macchia	macchia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
23-12	PSB084	23	12	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
23-13	PSB084	23	13	tavolo	tavolo	_	_	_	_	_	linguistic	_	none	_	End=41.96	_	_	_	_
24-0	PSB084	24	0	metto	metto	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=43.22	_	_	_	_
24-1	PSB084	24	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
24-2	PSB084	24	2	vado	vado	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
24-3	PSB084	24	3	[a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(7)
24-4	PSB084	24	4	mettere]	mettere	_	_	_	_	_	linguistic	_	none	_	End=45.03	_	_	_	0-7(7)
25-0	PSB085	25	0	[una	una	_	_	_	_	_	linguistic	_	none	_	Begin=44.21	_	_	_	0-3(7)
25-1	PSB085	25	1	presi]na?	presina	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=45.29	_	_	_	0-5(7)
26-0	PSB084	26	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=45.64	_	_	_	_
26-1	PSB084	26	1	ce	ce	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
26-2	PSB084	26	2	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
26-3	PSB084	26	3	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
26-4	PSB084	26	4	qua	qua	_	_	_	_	_	linguistic	_	none	_	End=46.54	_	_	_	_
27-0	PSB085	27	0	((sbadiglia))	((sbadiglia))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=58.72|End=59.58	_	_	_	_
28-0	PSB085	28	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=60.68	_	_	_	_
28-1	PSB085	28	1	chi	chi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
28-2	PSB085	28	2	aspettava	aspettava	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
28-3	PSB085	28	3	quella	quella	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
28-4	PSB085	28	4	signora	signora	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
28-5	PSB085	28	5	lì	lì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
28-6	PSB085	28	6	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
28-7	PSB085	28	7	xxxx	xxxx	_	_	_	_	_	unknown	_	none	Syllables=4	End=63.503	_	_	_	_
29-0	PSB085	29	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=64.32	_	_	_	_
29-1	PSB085	29	1	lo	lo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-2	PSB085	29	2	sa	sa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-3	PSB085	29	3	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-4	PSB085	29	4	protesi	protesi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-5	PSB085	29	5	(gliel')	gliel'	_	_	_	_	_	linguistic	_	none	Truncated=Yes	_	_	_	0-6(0)	_
29-6	PSB085	29	6	ha	ha	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-7	PSB085	29	7	portata	portata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-8	PSB085	29	8	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-9	PSB085	29	9	casa	casa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-10	PSB085	29	10	(perché)	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	0-6(1)	_
29-11	PSB085	29	11	portata	portata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-12	PSB085	29	12	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-13	PSB085	29	13	casa	casa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
29-14	PSB085	29	14	con	con	_	_	_	_	_	linguistic	_	none	_	End=67.71	_	_	_	_
30-0	PSB085	30	0	mh	mh	_	_	_	_	_	linguistic	_	none	_	Begin=67.93|End=68.21	_	_	_	_
31-0	PSB085	31	0	pensa	pensa	_	_	_	_	_	linguistic	_	none	_	Begin=69.29	_	_	_	_
31-1	PSB085	31	1	te	te	_	_	_	_	_	linguistic	_	none	_	End=70.08	_	_	_	_
32-0	PSB085	32	0	mh	mh	_	_	_	_	_	linguistic	_	none	_	Begin=71.46|End=71.86	_	_	_	_
33-0	PSB084	33	0	diventa	diventa	_	_	_	_	_	linguistic	_	none	_	Begin=72.34	_	_	_	_
33-1	PSB084	33	1	fredda	fredda	_	_	_	_	_	linguistic	_	none	_	End=73.59	_	_	_	_
34-0	PSB083	34	0	mangiamo	mangiamo	_	_	_	_	_	linguistic	_	none	_	Begin=74.9|End=75.73	_	_	_	_
35-0	PSB084	35	0	mh	mh	_	_	_	_	_	linguistic	_	none	_	Begin=76.19|End=76.65	_	_	_	_
36-0	PSB084	36	0	#3and-k	3and-k	_	_	_	_	_	warning	_	yes	Language=NO_ISO_CODE|Variation=Token	Begin=81.1	_	_	_	_
36-1	PSB084	36	1	#t-wassxeh	t-wassxeh	_	_	_	_	_	linguistic	_	yes	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
36-2	PSB084	36	2	#sirwal-ek	sirwal-ek	_	_	_	_	_	linguistic	_	yes	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
36-3	PSB084	36	3	#b-l	b-l	_	_	_	_	_	linguistic	_	yes	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
36-4	PSB084	36	4	#b~	b~	_	_	_	_	_	linguistic	_	yes	Interrupted=Yes|Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
36-5	PSB084	36	5	sugo	sugo	_	_	_	_	_	linguistic	_	yes	_	End=84.46	_	_	_	_
38-0	PSB084	38	0	gli	gli	_	_	_	_	_	linguistic	_	none	_	Begin=84.8	_	_	_	_
38-1	PSB084	38	1	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
38-2	PSB084	38	2	detto	detto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
38-3	PSB084	38	3	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
38-4	PSB084	38	4	sporcare	sporcare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
38-5	PSB084	38	5	i	i	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
38-6	PSB084	38	6	pantaloni	pantaloni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
38-7	PSB084	38	7	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
38-8	PSB084	38	8	sugo	sugo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
38-9	PSB084	38	9	perché	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
38-10	PSB084	38	10	[non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(8)
38-11	PSB084	38	11	va	va	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(8)
38-12	PSB084	38	12	vi]a	via	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(8)
38-13	PSB084	38	13	eh	eh	_	_	_	_	_	linguistic	_	none	_	End=88.469	_	_	_	_
39-0	PSB085	39	0	[a:h	ah	_	_	_	_	_	linguistic	_	none	_	Begin=87.21	0x1	_	_	0-2(8)
39-1	PSB085	39	1	eh]	eh	_	_	_	_	_	linguistic	_	none	_	End=87.95	_	_	_	0-2(8)
40-0	PSB083	40	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=89.75	_	_	_	_
40-1	PSB083	40	1	allora?	allora	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=90.56	_	_	_	_
41-0	PSB085	41	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=90.787	_	_	_	_
41-1	PSB085	41	1	allora	allora	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
41-2	PSB085	41	2	mettiti	mettiti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
41-3	PSB085	41	3	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
41-4	PSB085	41	4	canovaccio	canovaccio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
41-5	PSB085	41	5	sopra	sopra	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
41-6	PSB085	41	6	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	End=93.08500000000001	_	_	_	_
42-0	PSB083	42	0	m:h	mh	_	_	_	_	_	linguistic	_	none	_	Begin=93.08500000000001|End=93.58	0x1	_	_	_
43-0	PSB084	43	0	allora	allora	_	_	_	_	_	linguistic	_	none	_	Begin=94.703	_	_	_	_
