token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB125	0	[@sara]?	@sara?	linguistic	none	_	Begin=0.38|End=0.94	_	_	_	0-5(0)
1-0	PSB126	1	[#had]	had	linguistic	some	Language=NO_ISO_CODE	Begin=0.38	_	_	_	0-4(0)
1-1	PSB126	1	#l3am	l3am	linguistic	some	Language=NO_ISO_CODE	_	_	_	_	_
1-2	PSB126	1	#had	had	linguistic	some	Language=NO_ISO_CODE	_	_	_	_	_
1-3	PSB126	1	#l3am	l3am	linguistic	some	Language=NO_ISO_CODE	_	_	_	_	_
1-4	PSB126	1	#inshallah	inshallah	linguistic	some	Language=NO_ISO_CODE	_	_	_	_	_
1-5	PSB126	1	#nhabto	nhabto	linguistic	some	Language=NO_ISO_CODE	_	_	_	_	_
1-6	PSB126	1	#lmaghrib	lmaghrib	linguistic	some	Language=NO_ISO_CODE	_	_	_	_	_
1-7	PSB126	1	@sara	sara	linguistic	some	_	_	_	_	_	_
1-8	PSB126	1	#ghadi	ghadi	linguistic	some	Language=NO_ISO_CODE	_	_	_	_	_
1-9	PSB126	1	#dir	dir	linguistic	some	Language=NO_ISO_CODE	_	_	_	_	_
1-10	PSB126	1	#liha	liha	linguistic	some	Language=NO_ISO_CODE	_	_	_	_	_
1-11	PSB126	1	matrimonio	matrimonio	linguistic	some	_	_	_	_	_	_
1-12	PSB126	1	casa	casa	linguistic	some	_	_	_	_	_	_
1-13	PSB126	1	una	una	linguistic	some	_	_	_	_	_	_
1-14	PSB126	1	festic~	festic~	linguistic	some	Interrupted=Yes	_	_	_	_	_
1-15	PSB126	1	[una	una	linguistic	some	_	_	_	_	_	0-3(1)
1-16	PSB126	1	festi~	festi~	linguistic	some	Interrupted=Yes	_	_	_	_	0-6(1)
1-17	PSB126	1	festicciola]	festicciola	linguistic	some	_	End=9.796	_	_	_	0-11(1)
3-1	PSB125	3	[#wash	wash	linguistic	some	_	Begin=8.0	_	_	_	0-4(1)
3-2	PSB125	3	e:h]?	eh	linguistic	some	Intonation=rising	End=9.79	0x1	_	_	0-2(1)
5-0	PSB125	5	wash	wash	linguistic	all	Language=NO_ISO_CODE	Begin=10.0	_	_	_	_
5-1	PSB125	5	fel	fel	linguistic	all	Language=NO_ISO_CODE	_	_	_	_	_
5-2	PSB125	5	maghreb	maghreb	linguistic	all	Language=NO_ISO_CODE	_	_	_	_	_
5-3	PSB125	5	oula	oula	linguistic	all	Language=NO_ISO_CODE	_	_	_	_	_
5-4	PSB125	5	[fi	fi	linguistic	all	Language=NO_ISO_CODE	_	_	_	_	_
5-5	PSB125	5	talien?]	talien	linguistic	all	Intonation=rising|Language=NO_ISO_CODE	End=12.02	_	_	_	_
