token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB121	0	xx	x	unknown	none	_	Begin=0.83|End=1.85	_	_	_	_
1-0	PSB121	1	x	x	unknown	none	_	Begin=3.23|End=3.58	_	_	_	_
2-0	PSB122	2	{canticchia}	{canticchia}	nonverbalbehavior	none	_	Begin=4.53|End=12.14	_	_	_	_
3-0	PSB121	3	mh	mh	linguistic	none	_	Begin=8.97|End=9.33	_	_	_	_
4-0	PSB121	4	ma	ma	linguistic	none	_	Begin=10.83	_	_	_	_
4-1	PSB121	4	questo	questo	linguistic	none	_	_	_	_	_	_
4-2	PSB121	4	è	è	linguistic	none	_	_	_	_	_	_
4-3	PSB121	4	s~	s~	linguistic	none	Interrupted=Yes	_	_	_	_	_
4-4	PSB121	4	ciglia	ciglia	linguistic	none	_	_	_	_	_	_
4-5	PSB121	4	{P}	{P}	shortpause	none	_	_	_	_	_	_
4-6	PSB121	4	sopracciglia	sopracciglia	linguistic	none	_	End=13.48	_	_	_	_
5-0	PSB122	5	sopraccigli[a]	sopracciglia	linguistic	none	_	Begin=13.47|End=14.28	_	_	_	11-12(?)
6-0	PSB121	6	°[s]opracci[glia]°	sopracciglia	linguistic	none	Volume=low	Begin=14.18|End=15.07	_	_	_	0-1(1),8-12(2)
7-0	PSB122	7	[le]	le	linguistic	none	_	Begin=14.8	_	_	_	0-2(2)
7-1	PSB122	7	ciglia	ciglia	linguistic	none	_	_	_	_	_	_
7-2	PSB122	7	son	son	linguistic	none	_	_	_	_	_	_
7-3	PSB122	7	queste	queste	linguistic	none	_	End=16.08	_	_	_	_
8-0	PSB121	8	°mh°	mh	linguistic	none	Volume=low	Begin=16.1|End=16.39	_	_	_	_
9-0	PSB121	9	°okay°	okay	linguistic	none	Volume=low	Begin=16.53|End=17.57	_	_	_	_
10-0	PSB121	10	sopracciglia	sopracciglia	linguistic	none	_	Begin=18.77|End=19.91	_	_	_	_
11-0	PSB122	11	infatti	infatti	linguistic	none	_	Begin=20.31	_	_	_	_
11-1	PSB122	11	sopra	sopra	linguistic	none	_	End=21.36	_	_	_	_
12-0	PSB121	12	[ah]	ah	linguistic	none	_	Begin=21.5	_	_	_	0-2(3)
12-1	PSB121	12	va	va	linguistic	none	_	_	_	_	_	_
12-2	PSB121	12	bene	bene	linguistic	none	_	End=22.9	_	_	_	_
13-0	PSB122	13	[mh]	mh	linguistic	none	_	Begin=21.52|End=21.8	_	_	_	0-2(3)
14-0	PSB121	14	quindi	quindi	linguistic	none	_	Begin=23.61|End=24.74	_	_	_	_
15-0	PSB121	15	ma	ma	linguistic	none	_	Begin=28.15	_	_	_	_
15-1	PSB121	15	perché	perché	linguistic	none	_	_	_	_	_	_
15-2	PSB121	15	eh	eh	linguistic	none	_	_	_	_	_	_
15-3	PSB121	15	{P}	{P}	shortpause	none	_	_	_	_	_	_
15-4	PSB121	15	ci	ci	linguistic	none	_	_	_	_	_	_
15-5	PSB121	15	sono	sono	linguistic	none	_	_	_	_	_	_
15-6	PSB121	15	le	le	linguistic	none	_	_	_	_	_	_
15-7	PSB121	15	parte	parte	linguistic	none	_	_	_	_	_	_
15-8	PSB121	15	dove	dove	linguistic	none	_	_	_	_	_	_
15-9	PSB121	15	ci	ci	linguistic	none	_	_	_	_	_	_
15-10	PSB121	15	sono	sono	linguistic	none	_	_	_	_	_	_
15-11	PSB121	15	dove	dove	linguistic	none	_	End=31.92	_	_	_	_
16-0	PSB121	16	e	e	linguistic	none	_	Begin=32.15	_	_	_	_
16-1	PSB121	16	cer~	cer~	linguistic	none	Interrupted=Yes	_	_	_	_	_
16-2	PSB121	16	{P}	{P}	shortpause	none	_	_	_	_	_	_
16-3	PSB121	16	ci	ci	linguistic	none	_	_	_	_	_	_
16-4	PSB121	16	sono	sono	linguistic	none	_	_	_	_	_	_
16-5	PSB121	16	le	le	linguistic	none	_	_	_	_	_	_
16-6	PSB121	16	parti	parti	linguistic	none	_	_	_	_	_	_
16-7	PSB121	16	dove	dove	linguistic	none	_	_	_	_	_	_
16-8	PSB121	16	non	non	linguistic	none	_	_	_	_	_	_
16-9	PSB121	16	ci	ci	linguistic	none	_	_	_	_	_	_
16-10	PSB121	16	sono	sono	linguistic	none	_	End=35.45	_	_	_	_
17-0	PSB122	17	cosa?	cosa	linguistic	none	Intonation=rising	Begin=35.51|End=36.26	_	_	_	_
18-0	PSB121	18	sopracciglia	sopracciglia	linguistic	none	_	Begin=36.36|End=37.7	_	_	_	_
19-0	PSB122	19	[ci	ci	linguistic	none	_	Begin=39.13	_	_	_	0-2(4)
19-1	PSB122	19	sono	sono	linguistic	none	_	_	_	_	_	0-4(4)
19-2	PSB122	19	delle	delle	linguistic	none	_	_	_	_	_	0-5(4)
19-3	PSB122	19	parti	parti	linguistic	none	_	_	_	_	_	0-5(4)
19-4	PSB122	19	che	che	linguistic	none	_	_	_	_	_	0-3(4)
19-5	PSB122	19	non	non	linguistic	none	_	_	_	_	_	0-3(4)
19-6	PSB122	19	ci	ci	linguistic	none	_	_	_	_	_	0-2(4)
19-7	PSB122	19	so]no?	sono	linguistic	none	Intonation=rising	End=40.97	_	_	_	0-2(4)
20-0	PSB121	20	[tipo	tipo	linguistic	none	_	Begin=39.14	_	_	_	0-4(4)
20-1	PSB121	20	hai	hai	linguistic	none	_	_	_	_	_	0-3(4)
20-2	PSB121	20	il	il	linguistic	none	_	_	_	_	_	0-2(4)
20-3	PSB121	20	tu]	tu	linguistic	none	_	End=40.77	_	_	_	0-2(4)
21-0	PSB121	21	[mh]	mh	linguistic	none	_	Begin=41.17|End=41.5	_	_	_	0-2(5)
22-0	PSB122	22	[i	i	linguistic	none	_	Begin=41.17	_	_	_	0-1(5)
22-1	PSB122	22	peli]	peli	linguistic	none	_	End=41.5	_	_	_	0-4(5)
23-0	PSB121	23	mh	mh	linguistic	none	_	Begin=41.81	_	_	_	_
23-1	PSB121	23	mh	mh	linguistic	none	_	_	_	_	_	_
23-2	PSB121	23	mh	mh	linguistic	none	_	_	_	_	_	_
23-3	PSB121	23	mh	mh	linguistic	none	_	End=42.6	_	_	_	_
24-0	PSB122	24	boh	boh	linguistic	none	_	Begin=43.58|End=44.04	_	_	_	_
25-0	PSB121	25	[e	e	linguistic	none	_	Begin=44.8	_	_	_	0-1(6)
25-1	PSB121	25	poi]	poi	linguistic	none	_	End=45.68	_	_	_	0-3(6)
26-0	PSB122	26	[sono	sono	linguistic	none	_	Begin=44.8	_	_	_	0-4(6)
26-1	PSB122	26	bianchi]	bianchi	linguistic	none	_	End=45.68	_	_	_	0-7(6)
27-0	PSB121	27	no	no	linguistic	none	_	Begin=45.97	_	_	_	_
27-1	PSB121	27	non	non	linguistic	none	_	_	_	_	_	_
27-2	PSB121	27	sono	sono	linguistic	none	_	_	_	_	_	_
27-3	PSB121	27	tipo	tipo	linguistic	none	_	_	_	_	_	_
27-4	PSB121	27	{P}	{P}	shortpause	none	_	_	_	_	_	_
27-5	PSB121	27	qua:	qua	linguistic	none	_	_	2x1	_	_	_
27-6	PSB121	27	hai	hai	linguistic	none	_	_	_	_	_	_
27-7	PSB121	27	tutto	tutto	linguistic	none	_	_	_	_	_	_
27-8	PSB121	27	molto	molto	linguistic	none	_	_	_	_	_	_
27-9	PSB121	27	pieno	pieno	linguistic	none	_	End=49.89	_	_	_	_
28-0	PSB121	28	invece	invece	linguistic	none	_	Begin=50.08	_	_	_	_
28-1	PSB121	28	davanti	davanti	linguistic	none	_	_	_	_	_	_
28-2	PSB121	28	sono	sono	linguistic	none	_	_	_	_	_	_
28-3	PSB121	28	{P}	{P}	shortpause	none	_	_	_	_	_	_
28-4	PSB121	28	pochi	pochi	linguistic	none	_	End=52.53	_	_	_	_
29-0	PSB122	29	qui?	qui	linguistic	none	Intonation=rising	Begin=52.54|End=52.93	_	_	_	_
30-0	PSB121	30	mhmh	mhmh	linguistic	none	_	Begin=52.93|End=53.46	_	_	_	_
31-0	PSB122	31	boh	boh	linguistic	none	_	Begin=55.05	_	_	_	_
31-1	PSB122	31	{P}	{P}	shortpause	none	_	_	_	_	_	_
31-2	PSB122	31	non	non	linguistic	none	_	_	_	_	_	_
31-3	PSB122	31	so	so	linguistic	none	_	End=56.65	_	_	_	_
32-0	PSB121	32	bene	bene	linguistic	none	_	Begin=56.91	_	_	_	_
32-1	PSB121	32	{P}	{P}	shortpause	none	_	_	_	_	_	_
32-2	PSB121	32	okay	okay	linguistic	none	_	End=58.53	_	_	_	_
33-0	PSB122	33	eh	eh	linguistic	none	_	Begin=61.26	_	_	_	_
33-1	PSB122	33	mi	mi	linguistic	none	_	_	_	_	_	_
33-2	PSB122	33	devo	devo	linguistic	none	_	_	_	_	_	_
33-3	PSB122	33	fare	fare	linguistic	none	_	_	_	_	_	_
33-4	PSB122	33	i	i	linguistic	none	_	_	_	_	_	_
33-5	PSB122	33	peli	peli	linguistic	none	_	_	_	_	_	_
33-6	PSB122	33	dopo	dopo	linguistic	none	_	End=62.78	_	_	_	_
34-0	PSB121	34	[mhmh]	mhmh	linguistic	none	_	Begin=62.99|End=63.54	_	_	_	0-4(7)
35-0	PSB122	35	[solo	solo	linguistic	none	_	Begin=63.01	_	_	_	0-4(7)
35-1	PSB122	35	che	che	linguistic	none	_	_	_	_	_	0-3(7)
35-2	PSB122	35	fa]cci(o)	faccio	linguistic	none	_	_	_	_	5-6(0)	0-2(7)
35-3	PSB122	35	fatica	fatica	linguistic	none	_	_	_	_	_	_
35-4	PSB122	35	co~	co~	linguistic	none	Interrupted=Yes	_	_	_	_	_
35-5	PSB122	35	sta	sta	linguistic	none	_	_	_	_	_	_
35-6	PSB122	35	mano	mano	linguistic	none	_	_	_	_	_	_
35-7	PSB122	35	qua	qua	linguistic	none	_	End=65.33	_	_	_	_
36-0	PSB121	36	[a::h]	ah	linguistic	none	_	Begin=65.74|End=66.84	0x2	_	_	0-2(8)
