token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB091	0	0	allora	allora	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	Begin=0.64	_	_	_	_
0-1	PSB091	0	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-2	PSB091	0	2	noi	noi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PSB091	0	3	abbiamo	abbiamo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PSB091	0	4	sentito	sentito	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PSB091	0	5	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PSB091	0	6	vuole	vuole	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	PSB091	0	7	mh	mh	_	_	_	_	_	linguistic	_	none	_	End=3.76	_	_	_	_
1-0	PSB091	1	0	e:h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=6.87	0x1	_	_	_
1-1	PSB091	1	1	ventiquattromila	ventiquattromila	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	PSB091	1	2	euro	euro	_	_	_	_	_	linguistic	_	none	_	End=8.757	_	_	_	_
2-0	PSB091	2	0	ha	ha	_	_	_	_	_	linguistic	_	none	_	Begin=10.34	_	_	_	_
2-1	PSB091	2	1	detto	detto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PSB091	2	2	vicino	vicino	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PSB091	2	3	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PSB091	2	4	suo	suo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	PSB091	2	5	ventiquattromila	ventiquattromila	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PSB091	2	6	euro	euro	_	_	_	_	_	linguistic	_	none	_	End=12.839	_	_	_	_
3-0	PSB091	3	0	poi	poi	_	_	_	_	_	linguistic	_	none	_	Begin=17.72|End=18.22	_	_	_	_
4-0	PSB091	4	0	°non	non	_	_	_	_	_	linguistic	_	none	Volume=low	Begin=22.32	_	_	_	_
4-1	PSB091	4	1	so°	so	_	_	_	_	_	linguistic	_	none	Volume=low	End=22.85	_	_	_	_
5-0	PSB091	5	0	però	però	_	_	_	_	_	linguistic	_	none	_	Begin=32.6	_	_	_	_
5-1	PSB091	5	1	bella	bella	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	PSB091	5	2	quella	quella	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	PSB091	5	3	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	PSB091	5	4	bella	bella	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	PSB091	5	5	mamma	mamma	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-6	PSB091	5	6	mia	mia	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-7	PSB091	5	7	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-8	PSB091	5	8	mio	mio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-9	PSB091	5	9	sogno	sogno	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-10	PSB091	5	10	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-11	PSB091	5	11	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-12	PSB091	5	12	portarlo:	portarlo	_	_	_	_	_	linguistic	_	none	_	End=36.78	7x1	_	_	_
6-0	PSB091	6	0	vicino	vicino	_	_	_	_	_	linguistic	_	none	_	Begin=37.07	_	_	_	_
6-1	PSB091	6	1	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	PSB091	6	2	me	me	_	_	_	_	_	linguistic	_	none	_	End=37.98	_	_	_	_
7-0	PSB092	7	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=38.9	_	_	_	_
