token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB091	0	0	0	sono,	sono	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising|PauseAfter=Yes	Begin=0.64	_	_	_	_
0-1	PSB091	0	0	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-2	PSB091	0	0	2	igiene	igiene	_	_	_	_	_	linguistic	_	none	_	End=3.04	_	_	_	_
1-0	PSB128	1	1	0	°igie[ne]°	igiene	_	_	_	_	_	linguistic	_	none	Volume=low	Begin=3.46|End=3.973	_	_	_	4-6(0)
2-0	PSB005	2	2	0	[mh]mh	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=3.75	_	_	_	0-2(0)
2-1	PSB005	2	2	1	esat[to]	esatto	_	_	_	_	_	linguistic	_	none	_	End=4.907	_	_	_	4-6(1)
3-0	PSB091	3	3	0	[la]vare	lavare	_	_	_	_	_	linguistic	_	none	_	Begin=4.7	_	_	_	0-2(1)
3-1	PSB091	3	3	1	bene	bene	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PSB091	3	3	2	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PSB091	3	3	3	mani,	mani	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=6.38	_	_	_	_
4-0	PSB091	4	4	0	tenere	tenere	_	_	_	_	_	linguistic	_	none	_	Begin=6.62	_	_	_	_
4-1	PSB091	4	4	1	i	i	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PSB091	4	4	2	capelli	capelli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	PSB091	4	4	3	lega[ti],	legati	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=8.35	_	_	_	4-6(2)
5-0	PSB036	5	5	0	[xxx]	xxx	_	_	_	_	_	unknown	_	none	Syllables=3	Begin=8.026|End=9.426	_	_	_	0-3(?)
6-0	PSB130	6	6	0	[eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=9.02	_	_	_	0-2(3)
6-1	PSB130	6	6	1	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(3)
6-2	PSB130	6	6	2	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(3)
6-3	PSB130	6	6	3	ce]	ce	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(3)
6-4	PSB130	6	6	4	li	li	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-5	PSB130	6	6	5	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-6	PSB130	6	6	6	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-7	PSB130	6	6	7	mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-8	PSB130	6	6	8	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-9	PSB130	6	6	9	dimenticata:	dimenticata	_	_	_	_	_	linguistic	_	none	_	_	10x1	_	_	_
6-10	PSB130	6	6	10	[di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(4)
6-11	PSB130	6	6	11	racco]gliere	raccogliere	_	_	_	_	_	linguistic	_	none	_	End=12.45	_	_	_	0-5(4)
7-0	PSB091	7	7	0	[okay]	okay	_	_	_	_	_	linguistic	_	none	_	Begin=11.507|End=12.073	_	_	_	0-4(4)
8-0	PSB091	8	8	0	va	va	_	_	_	_	_	linguistic	_	none	_	Begin=13.0	_	_	_	_
8-1	PSB091	8	8	1	bene	bene	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-2	PSB091	8	8	2	[(.)	.	_	_	_	_	_	error	_	none	_	_	_	_	_	_
8-3	PSB091	8	8	3	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(5)
8-4	PSB091	8	8	4	s~]	s~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	0-2(5)
8-5	PSB091	8	8	5	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-6	PSB091	8	8	6	stavolta	stavolta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-7	PSB091	8	8	7	[sì]	sì	_	_	_	_	_	linguistic	_	none	_	End=15.494	_	_	_	0-2(6)
9-0	PSB130	9	9	0	[posso	posso	_	_	_	_	_	linguistic	_	none	_	Begin=13.539	_	_	_	0-5(5)
9-1	PSB130	9	9	1	fare	fare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(5)
9-2	PSB130	9	9	2	così]?	così	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=14.211	_	_	_	0-4(5)
10-0	PSB128	10	10	0	[sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=14.906	_	_	_	0-2(6)
10-1	PSB128	10	10	1	sì]	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(6)
10-2	PSB128	10	10	2	sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
10-3	PSB128	10	10	3	sì	sì	_	_	_	_	_	linguistic	_	none	_	End=16.199	_	_	_	_
11-0	PSB091	11	11	0	per	per	_	_	_	_	_	linguistic	_	none	_	Begin=16.513	_	_	_	_
11-1	PSB091	11	11	1	stavolta	stavolta	_	_	_	_	_	linguistic	_	none	_	End=17.546	_	_	_	_
12-0	PSB128	12	12	0	importante	importante	_	_	_	_	_	linguistic	_	none	_	Begin=17.536	_	_	_	_
12-1	PSB128	12	12	1	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-2	PSB128	12	12	2	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-3	PSB128	12	12	3	cade	cade	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-4	PSB128	12	12	4	den[tro]	dentro	_	_	_	_	_	linguistic	_	none	_	End=19.73	_	_	_	3-6(8)
13-0	PSB091	13	13	0	[sì]	sì	_	_	_	_	_	linguistic	_	none	_	Begin=19.333|End=19.7	_	_	_	0-2(8)
14-0	PSB091	14	14	0	dentro	dentro	_	_	_	_	_	linguistic	_	none	_	Begin=19.946|End=20.573	_	_	_	_
15-0	PSB127	15	15	0	[dentro	dentro	_	_	_	_	_	linguistic	_	none	_	Begin=21.11	_	_	_	0-6(9)
15-1	PSB127	15	15	1	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(9)
15-2	PSB127	15	15	2	cibo]	cibo	_	_	_	_	_	linguistic	_	none	_	End=22.14	_	_	_	0-4(9)
16-0	PSB128	16	16	0	[quando	quando	_	_	_	_	_	linguistic	_	none	_	Begin=21.153	_	_	_	0-6(9)
16-1	PSB128	16	16	1	fat~]	fat~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	End=21.973	_	_	_	0-4(9)
17-0	PSB128	17	17	0	quando	quando	_	_	_	_	_	linguistic	_	none	_	Begin=22.28	_	_	_	_
17-1	PSB128	17	17	1	fate	fate	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-2	PSB128	17	17	2	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-3	PSB128	17	17	3	casa	casa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-4	PSB128	17	17	4	i	i	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-5	PSB128	17	17	5	tortellini,	tortellini	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=24.778	_	_	_	_
18-0	PSB128	18	18	0	fate	fate	_	_	_	_	_	linguistic	_	none	_	Begin=26.4	_	_	_	_
18-1	PSB128	18	18	1	lo	lo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
18-2	PSB128	18	18	2	stesso	stesso	_	_	_	_	_	linguistic	_	none	_	End=27.34	_	_	_	_
19-0	PSB130	19	19	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=27.413	_	_	_	_
19-1	PSB130	19	19	1	infatti	infatti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-2	PSB130	19	19	2	ieri	ieri	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-3	PSB130	19	19	3	sera	sera	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
