token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB005	0	allora	allora	linguistic	none	_	Begin=1.19	_	_	_	_
0-1	PSB005	0	{P}	{P}	shortpause	none	_	_	_	_	_	_
0-2	PSB005	0	dimmi	dimmi	linguistic	none	_	_	_	_	_	_
0-3	PSB005	0	{P}	{P}	shortpause	none	_	_	_	_	_	_
0-4	PSB005	0	bologna	bologna	linguistic	none	_	_	_	_	_	_
0-5	PSB005	0	è	è	linguistic	none	_	_	_	_	_	_
0-6	PSB005	0	bellissima?	bellissima	linguistic	none	Intonation=rising	End=3.695	_	_	_	_
1-0	PSB026	1	prima	prima	linguistic	some	_	Begin=4.3	_	_	_	_
1-1	PSB026	1	sì	sì	linguistic	some	_	_	_	_	_	_
1-2	PSB026	1	{P}	{P}	shortpause	some	_	_	_	_	_	_
1-3	PSB026	1	prima	prima	linguistic	some	_	_	_	_	_	_
1-4	PSB026	1	#italy	italy	linguistic	some	Language=NO_ISO_CODE	_	_	_	_	_
1-5	PSB026	1	se	se	linguistic	some	_	_	_	_	_	_
1-6	PSB026	1	bellissi[mo]	bellissimo	linguistic	some	_	End=7.073	_	_	_	8-10(0)
3-0	PSB005	3	[mhmh]	mhmh	linguistic	none	_	Begin=6.88|End=7.261	_	_	_	0-4(0)
4-0	PSB026	4	anche	anche	linguistic	some	_	Begin=7.6	_	_	_	_
4-1	PSB026	4	se:	se	linguistic	some	_	_	1x1	_	_	_
4-2	PSB026	4	#italy	italy	linguistic	some	Language=NO_ISO_CODE	_	_	_	_	_
4-3	PSB026	4	se	se	linguistic	some	_	_	_	_	_	_
4-4	PSB026	4	bella	bella	linguistic	some	_	_	_	_	_	_
4-5	PSB026	4	anche	anche	linguistic	some	_	_	_	_	_	_
4-6	PSB026	4	se	se	linguistic	some	_	_	_	_	_	_
4-7	PSB026	4	anche	anche	linguistic	some	_	_	_	_	_	_
4-8	PSB026	4	bologna	bologna	linguistic	some	_	End=10.919	_	_	_	_
6-0	PSB026	6	città	città	linguistic	none	_	Begin=11.1	_	_	_	_
6-1	PSB026	6	an[che	anche	linguistic	none	_	_	_	_	_	2-5(1)
6-2	PSB026	6	se	se	linguistic	none	_	_	_	_	_	0-2(1)
6-3	PSB026	6	bellissimo]	bellissimo	linguistic	none	_	_	_	_	_	0-10(1)
6-4	PSB026	6	anche	anche	linguistic	none	_	_	_	_	_	_
6-5	PSB026	6	bella	bella	linguistic	none	_	_	_	_	_	_
6-6	PSB026	6	anche	anche	linguistic	none	_	_	_	_	_	_
6-7	PSB026	6	italiano	italiano	linguistic	none	_	_	_	_	_	_
6-8	PSB026	6	anche	anche	linguistic	none	_	_	_	_	_	_
6-9	PSB026	6	se	se	linguistic	none	_	_	_	_	_	_
6-10	PSB026	6	molto	molto	linguistic	none	_	_	_	_	_	_
6-11	PSB026	6	gentili	gentili	linguistic	none	_	_	_	_	_	_
6-12	PSB026	6	anche	anche	linguistic	none	_	_	_	_	_	_
6-13	PSB026	6	se	se	linguistic	none	_	_	_	_	_	_
6-14	PSB026	6	bravi	bravi	linguistic	none	_	End=16.124	_	_	_	_
7-0	PSB005	7	[mhmh]	mhmh	linguistic	none	_	Begin=11.739|End=12.339	_	_	_	0-4(1)
8-0	PSB026	8	e:h	eh	linguistic	some	_	Begin=16.85	0x1	_	_	_
8-1	PSB026	8	io	io	linguistic	some	_	_	_	_	_	_
8-2	PSB026	8	#italy	italy	linguistic	some	Language=NO_ISO_CODE	_	_	_	_	_
8-3	PSB026	8	quattordici	quattordici	linguistic	some	_	_	_	_	_	_
8-4	PSB026	8	anni	anni	linguistic	some	_	End=18.873	_	_	_	_
10-0	PSB005	10	okay	okay	linguistic	none	_	Begin=19.03|End=19.345	_	_	_	_
11-0	PSB026	11	capito?	capito	linguistic	none	Intonation=rising	Begin=19.345|End=19.711	_	_	_	_
12-0	PSB026	12	ecco	ecco	linguistic	none	_	Begin=19.82	_	_	_	_
12-1	PSB026	12	io	io	linguistic	none	_	_	_	_	_	_
12-2	PSB026	12	lavoro	lavoro	linguistic	none	_	_	_	_	_	_
12-3	PSB026	12	qua	qua	linguistic	none	_	_	_	_	_	_
12-4	PSB026	12	anche	anche	linguistic	none	_	_	_	_	_	_
12-5	PSB026	12	io	io	linguistic	none	_	_	_	_	_	_
12-6	PSB026	12	abiti	abiti	linguistic	none	_	_	_	_	_	_
12-7	PSB026	12	qua	qua	linguistic	none	_	End=22.234	_	_	_	_
13-0	PSB028	13	mh[mhmh]	mhmhmh	linguistic	none	_	Begin=22.633|End=23.239	_	_	_	2-6(586)
14-0	PSB005	14	[mhmh]	mhmh	linguistic	none	_	Begin=22.813|End=23.186	_	_	_	0-4(586)
15-0	PSB026	15	[quella]	quella	linguistic	none	_	Begin=22.97	_	_	_	0-6(586)
15-1	PSB026	15	zona	zona	linguistic	none	_	_	_	_	_	_
15-2	PSB026	15	conosco	conosco	linguistic	none	_	_	_	_	_	_
15-3	PSB026	15	bene	bene	linguistic	none	_	_	_	_	_	_
15-4	PSB026	15	[anche	anche	linguistic	none	_	_	_	_	_	0-5(2)
15-5	PSB026	15	(bolo~)]	bolo~	linguistic	none	Interrupted=Yes	_	_	_	0-5(0)	0-5(2)
15-6	PSB026	15	conosco	conosco	linguistic	none	_	_	_	_	_	_
15-7	PSB026	15	bene	bene	linguistic	none	_	End=25.07	_	_	_	_
16-0	PSB028	16	[dov'	dov'	linguistic	none	SpaceAfter=No	Begin=23.91	_	_	_	0-4(2)
16-1	PSB028	16	è	è	linguistic	none	_	_	_	_	_	0-1(2)
16-2	PSB028	16	che	che	linguistic	none	_	_	_	_	_	0-3(2)
16-3	PSB028	16	abiti]?	abiti	linguistic	none	Intonation=rising	End=24.7	_	_	_	0-5(2)
17-0	PSB026	17	io	io	linguistic	none	_	Begin=25.616	_	_	_	_
17-1	PSB026	17	abiti	abiti	linguistic	none	_	_	_	_	_	_
17-2	PSB026	17	là	là	linguistic	none	_	End=26.276	_	_	_	_
18-0	PSB026	18	via:	via	linguistic	none	_	Begin=26.746	2x1	_	_	_
18-1	PSB026	18	via	via	linguistic	none	_	_	_	_	_	_
18-2	PSB026	18	petroni	petroni	linguistic	none	_	End=28.136	_	_	_	_
19-0	PSB005	19	[ah	ah	linguistic	none	_	Begin=28.162	_	_	_	0-2(3)
19-1	PSB005	19	okay]	okay	linguistic	none	_	End=29.002	_	_	_	0-4(3)
20-0	PSB028	20	[a:h	ah	linguistic	none	_	Begin=28.171	0x1	_	_	0-2(3)
20-1	PSB028	20	okay]	okay	linguistic	none	_	_	_	_	_	0-4(3)
20-2	PSB028	20	quindi	quindi	linguistic	none	_	_	_	_	_	_
20-3	PSB028	20	qua	qua	linguistic	none	_	_	_	_	_	_
20-4	PSB028	20	[proprio	proprio	linguistic	none	_	_	_	_	_	0-7(4)
20-5	PSB028	20	vicino]	vicino	linguistic	none	_	_	_	_	_	0-6(4)
20-6	PSB028	20	okay	okay	linguistic	none	_	_	_	_	_	_
20-7	PSB028	20	okay	okay	linguistic	none	_	End=30.68	_	_	_	_
21-0	PSB026	21	[sì	sì	linguistic	none	_	Begin=29.28	_	_	_	0-2(4)
21-1	PSB026	21	vicino	vicino	linguistic	none	_	_	_	_	_	0-6(4)
21-2	PSB026	21	sì]	sì	linguistic	none	_	End=30.21	_	_	_	0-2(4)
22-0	PSB026	22	però	però	linguistic	none	_	Begin=30.85	_	_	_	_
22-1	PSB026	22	una	una	linguistic	none	_	_	_	_	_	_
22-2	PSB026	22	cosa:	cosa	linguistic	none	_	_	3x1	_	_	_
22-3	PSB026	22	me	me	linguistic	none	_	_	_	_	_	_
22-4	PSB026	22	non	non	linguistic	none	_	_	_	_	_	_
22-5	PSB026	22	piace	piace	linguistic	none	_	_	_	_	_	_
22-6	PSB026	22	quello	quello	linguistic	none	_	_	_	_	_	_
22-7	PSB026	22	zona	zona	linguistic	none	_	_	_	_	_	_
22-8	PSB026	22	e:h	eh	linguistic	none	_	_	0x1	_	_	_
22-9	PSB026	22	come:	come	linguistic	none	_	End=35.06	3x1	_	_	_
23-0	PSB026	23	san	san	linguistic	none	_	Begin=35.18	_	_	_	_
23-1	PSB026	23	donat[o:	donato	linguistic	none	_	_	5x1	_	_	5-6(5)
23-2	PSB026	23	a]nche	anche	linguistic	none	_	_	_	_	_	0-1(5)
23-3	PSB026	23	come	come	linguistic	none	_	_	_	_	_	_
23-4	PSB026	23	porta	porta	linguistic	none	_	_	_	_	_	_
23-5	PSB026	23	san	san	linguistic	none	_	_	_	_	_	_
23-6	PSB026	23	vitale	vitale	linguistic	none	_	_	_	_	_	_
23-7	PSB026	23	anche	anche	linguistic	none	_	_	_	_	_	_
23-8	PSB026	23	quella	quella	linguistic	none	_	_	_	_	_	_
23-9	PSB026	23	zona	zona	linguistic	none	_	_	_	_	_	_
23-10	PSB026	23	anche	anche	linguistic	none	_	_	_	_	_	_
23-11	PSB026	23	sotto	sotto	linguistic	none	_	_	_	_	_	_
23-12	PSB026	23	due	due	linguistic	none	_	_	_	_	_	_
23-13	PSB026	23	torri	torri	linguistic	none	_	_	_	_	_	_
23-14	PSB026	23	quella	quella	linguistic	none	_	_	_	_	_	_
23-15	PSB026	23	zona	zona	linguistic	none	_	End=40.24	_	_	_	_
24-0	PSB028	24	[ah]	ah	linguistic	none	_	Begin=36.193|End=36.399	_	_	_	0-2(5)
25-0	PSB005	25	mhmh	mhmh	linguistic	none	_	Begin=40.33|End=40.67	_	_	_	_
26-0	PSB026	26	anche	anche	linguistic	none	_	Begin=40.79	_	_	_	_
26-1	PSB026	26	quello	quello	linguistic	none	_	_	_	_	_	_
26-2	PSB026	26	brutto	brutto	linguistic	none	_	_	_	_	_	_
26-3	PSB026	26	lo	lo	linguistic	none	_	_	_	_	_	_
26-4	PSB026	26	sai	sai	linguistic	none	_	_	_	_	_	_
26-5	PSB026	26	pe[rché]?	perché	linguistic	none	Intonation=rising	End=42.671	_	_	_	2-6(6)
27-0	PSB005	27	[mhmh]	mhmh	linguistic	none	_	Begin=42.27|End=42.67	_	_	_	0-4(6)
28-0	PSB026	28	qua	qua	linguistic	none	_	Begin=43.33	_	_	_	_
28-1	PSB026	28	troppo	troppo	linguistic	none	_	_	_	_	_	_
28-2	PSB026	28	{P}	{P}	shortpause	none	_	_	_	_	_	_
28-3	PSB026	28	anche:	anche	linguistic	none	_	_	4x1	_	_	_
28-4	PSB026	28	arabo	arabo	linguistic	none	_	End=45.929	_	_	_	_
29-0	PSB026	29	anche:	anche	linguistic	none	_	Begin=46.17	4x1	_	_	_
29-1	PSB026	29	eh	eh	linguistic	none	_	_	_	_	_	_
29-2	PSB026	29	tunisino	tunisino	linguistic	none	_	_	_	_	_	_
29-3	PSB026	29	anche	anche	linguistic	none	_	_	_	_	_	_
29-4	PSB026	29	$magrebi	magrebi	linguistic	none	Orthography=Yes	_	_	_	_	_
29-5	PSB026	29	anche	anche	linguistic	none	_	_	_	_	_	_
29-6	PSB026	29	africano	africano	linguistic	none	_	_	_	_	_	_
29-7	PSB026	29	anche	anche	linguistic	none	_	_	_	_	_	_
29-8	PSB026	29	(le)	le	linguistic	none	_	_	_	_	0-2(0)	_
29-9	PSB026	29	se	se	linguistic	none	_	_	_	_	_	_
29-10	PSB026	29	ladro	ladro	linguistic	none	_	End=50.66	_	_	_	_
30-0	PSB026	30	troppo	troppo	linguistic	none	_	Begin=50.89	_	_	_	_
30-1	PSB026	30	[ladro]	ladro	linguistic	none	_	End=51.687	_	_	_	0-5(7)
31-0	PSB028	31	[mh]	mh	linguistic	none	_	Begin=51.153|End=51.486	_	_	_	0-2(7)
32-0	PSB005	32	m:h	mh	linguistic	none	_	Begin=51.73|End=52.04	0x1	_	_	_
33-0	PSB026	33	e	e	linguistic	none	_	Begin=52.65	_	_	_	_
33-1	PSB026	33	questi	questi	linguistic	none	_	_	_	_	_	_
33-2	PSB026	33	giorno	giorno	linguistic	none	_	_	_	_	_	_
33-3	PSB026	33	fa	fa	linguistic	none	_	End=53.727	_	_	_	_
34-0	PSB026	34	e:h	eh	linguistic	none	_	Begin=54.1	0x1	_	_	_
34-1	PSB026	34	una	una	linguistic	none	_	_	_	_	_	_
34-2	PSB026	34	cliente	cliente	linguistic	none	_	_	_	_	_	_
34-3	PSB026	34	venuto	venuto	linguistic	none	_	_	_	_	_	_
34-4	PSB026	34	qua	qua	linguistic	none	_	_	_	_	_	_
34-5	PSB026	34	mio	mio	linguistic	none	_	_	_	_	_	_
34-6	PSB026	34	$negozì	negozì	linguistic	none	Orthography=Yes	_	_	_	_	_
34-7	PSB026	34	lasciato	lasciato	linguistic	none	_	_	_	_	_	_
34-8	PSB026	34	una	una	linguistic	none	_	_	_	_	_	_
34-9	PSB026	34	bici	bici	linguistic	none	_	End=57.8	_	_	_	_
35-0	PSB026	35	lui	lui	linguistic	none	_	Begin=57.91	_	_	_	_
35-1	PSB026	35	già	già	linguistic	none	_	_	_	_	_	_
35-2	PSB026	35	parlando	parlando	linguistic	none	_	_	_	_	_	_
35-3	PSB026	35	con	con	linguistic	none	_	_	_	_	_	_
35-4	PSB026	35	me	me	linguistic	none	_	_	_	_	_	_
35-5	PSB026	35	anche	anche	linguistic	none	_	_	_	_	_	_
35-6	PSB026	35	lei	lei	linguistic	none	_	_	_	_	_	_
35-7	PSB026	35	[hai	hai	linguistic	none	_	_	_	_	_	0-3(8)
35-8	PSB026	35	capito]?	capito	linguistic	none	Intonation=rising	End=59.974	_	_	_	0-6(8)
36-0	PSB028	36	[mhmh]	mhmh	linguistic	none	_	Begin=59.62|End=59.94	_	_	_	0-4(8)
37-0	PSB026	37	subito	subito	linguistic	none	_	Begin=60.14	_	_	_	_
37-1	PSB026	37	rubato	rubato	linguistic	none	_	_	_	_	_	_
37-2	PSB026	37	una	una	linguistic	none	_	_	_	_	_	_
37-3	PSB026	37	bici	bici	linguistic	none	_	_	_	_	_	_
37-4	PSB026	37	ha	ha	linguistic	none	_	_	_	_	_	_
37-5	PSB026	37	[capito]?	capito	linguistic	none	Intonation=rising	End=62.74	_	_	_	0-6(9)
38-0	PSB005	38	[oddio]	oddio	linguistic	none	_	Begin=62.2|End=62.72	_	_	_	0-5(9)
39-0	PSB026	39	anche	anche	linguistic	none	_	Begin=63.03	_	_	_	_
39-1	PSB026	39	tante	tante	linguistic	none	_	_	_	_	_	_
39-2	PSB026	39	[volta]	volta	linguistic	none	_	_	_	_	_	0-5(10)
39-3	PSB026	39	{P}	{P}	shortpause	none	_	_	_	_	_	_
39-4	PSB026	39	hai	hai	linguistic	none	_	_	_	_	_	_
39-5	PSB026	39	capito?	capito	linguistic	none	Intonation=rising	End=64.829	_	_	_	_
40-0	PSB005	40	[mhmh]	mhmh	linguistic	none	_	Begin=63.66|End=64.08	_	_	_	0-4(10)
41-0	PSB026	41	mio	mio	linguistic	none	_	Begin=65.15	_	_	_	_
41-1	PSB026	41	$negozì	negozì	linguistic	none	Orthography=Yes	_	_	_	_	_
41-2	PSB026	41	venuto	venuto	linguistic	none	_	_	_	_	_	_
41-3	PSB026	41	qua	qua	linguistic	none	_	_	_	_	_	_
41-4	PSB026	41	a	a	linguistic	none	_	_	_	_	_	_
41-5	PSB026	41	me	me	linguistic	none	_	_	_	_	_	_
41-6	PSB026	41	due	due	linguistic	none	_	_	_	_	_	_
41-7	PSB026	41	persone	persone	linguistic	none	_	End=67.98	_	_	_	_
42-0	PSB026	42	io	io	linguistic	none	_	Begin=68.42	_	_	_	_
42-1	PSB026	42	prima	prima	linguistic	none	_	_	_	_	_	_
42-2	PSB026	42	una	una	linguistic	none	_	_	_	_	_	_
42-3	PSB026	42	persona	persona	linguistic	none	_	_	_	_	_	_
42-4	PSB026	42	davanti	davanti	linguistic	none	_	_	_	_	_	_
42-5	PSB026	42	parlare	parlare	linguistic	none	_	_	_	_	_	_
42-6	PSB026	42	me	me	linguistic	none	_	_	_	_	_	_
42-7	PSB026	42	altre	altre	linguistic	none	_	_	_	_	_	_
