token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB005	0	0	>okay<	okay	_	_	_	_	_	linguistic	_	none	_	Begin=0.65	_	Fast=0-4(0)	_	_
0-1	PSB005	0	1	ma	ma	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
0-2	PSB005	0	2	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-3	PSB005	0	3	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PSB005	0	4	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PSB005	0	5	molti	molti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PSB005	0	6	clienti	clienti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	PSB005	0	7	ancora	ancora	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-8	PSB005	0	8	o	o	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-9	PSB005	0	9	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-10	PSB005	0	10	c'	c'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
0-11	PSB005	0	11	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-12	PSB005	0	12	tro~	tro~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
0-13	PSB005	0	13	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-14	PSB005	0	14	già	già	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-15	PSB005	0	15	[troppo	troppo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-6(0)
0-16	PSB005	0	16	vacanze]?	vacanze	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=5.124	_	_	_	0-7(0)
1-0	PSB056	1	0	[no:	no	_	_	_	_	_	linguistic	_	none	_	Begin=3.92	1x1	_	_	0-2(0)
1-1	PSB056	1	1	no	no	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
1-2	PSB056	1	2	no	no	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
1-3	PSB056	1	3	no]	no	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
1-4	PSB056	1	4	a:h	ah	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	_
1-5	PSB056	1	5	questo	questo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-6	PSB056	1	6	giorni	giorni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-7	PSB056	1	7	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-8	PSB056	1	8	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-9	PSB056	1	9	molto	molto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-10	PSB056	1	10	cliente	cliente	_	_	_	_	_	linguistic	_	none	_	End=8.13	_	_	_	_
2-0	PSB005	2	0	mhmh	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=8.16|End=8.36	_	_	_	_
3-0	PSB056	3	0	hai	hai	_	_	_	_	_	linguistic	_	none	_	Begin=8.37	_	_	_	_
3-1	PSB056	3	1	visto	visto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PSB056	3	2	poco	poco	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PSB056	3	3	roba	roba	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
3-4	PSB056	3	4	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
3-5	PSB056	3	5	qua	qua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	PSB056	3	6	questo	questo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-7	PSB056	3	7	chiosco	chiosco	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-8	PSB056	3	8	va	va	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-9	PSB056	3	9	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-10	PSB056	3	10	@nomeluogo	@nomeluogo	_	_	_	_	_	anonymized	_	none	_	End=12.7	_	_	_	_
4-0	PSB005	4	0	°oh°	oh	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes|Volume=low	Begin=13.23	_	_	_	_
4-1	PSB005	4	1	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
4-2	PSB005	4	2	c'	c'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
4-3	PSB005	4	3	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-4	PSB005	4	4	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	PSB005	4	5	altro	altro	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
