token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB004	0	0	xx	xx	_	_	_	_	_	unknown	_	none	Syllables=2	Begin=1.74	_	_	_	_
0-1	PSB004	0	1	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PSB004	0	2	rotta	rotta	_	_	_	_	_	linguistic	_	none	_	End=2.89	_	_	_	_
1-0	PSB004	1	0	la	la	_	_	_	_	_	linguistic	_	none	_	Begin=3.28	_	_	_	_
1-1	PSB004	1	1	rotta	rotta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	PSB004	1	2	proprio	proprio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-3	PSB004	1	3	cambiare	cambiare	_	_	_	_	_	linguistic	_	none	_	End=4.769	_	_	_	_
2-0	PSB005	2	0	perché?	perché	_	_	_	_	_	linguistic	_	none	Intonation=Rising	Begin=5.11|End=5.52	_	_	_	_
3-0	PSB004	3	0	e:h	eh	_	_	_	_	_	linguistic	_	none	_	Begin=5.92	0x1	_	_	_
3-1	PSB004	3	1	perché:	perché	_	_	_	_	_	linguistic	_	none	_	_	5x1	_	_	_
3-2	PSB004	3	2	prima	prima	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PSB004	3	3	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	PSB004	3	4	pensato	pensato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-5	PSB004	3	5	troppo	troppo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	PSB004	3	6	facile	facile	_	_	_	_	_	linguistic	_	none	_	End=9.49	_	_	_	_
4-0	PSB004	4	0	cioè	cioè	_	_	_	_	_	linguistic	_	none	_	Begin=9.93	_	_	_	_
4-1	PSB004	4	1	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PSB004	4	2	modo	modo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	PSB004	4	3	troppo	troppo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-4	PSB004	4	4	facile	facile	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-5	PSB004	4	5	[e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(0)
4-6	PSB004	4	6	poi]	poi	_	_	_	_	_	linguistic	_	none	_	End=11.608	_	_	_	0-3(0)
5-0	PSB005	5	0	[sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=10.755	_	_	_	0-2(0)
5-1	PSB005	5	1	sì]	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
5-2	PSB005	5	2	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	PSB005	5	3	capito	capito	_	_	_	_	_	linguistic	_	none	_	End=12.352	_	_	_	_
6-0	PSB004	6	0	devo	devo	_	_	_	_	_	linguistic	_	none	_	Begin=13.34	_	_	_	_
6-1	PSB004	6	1	fare	fare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	PSB004	6	2	qualcosa	qualcosa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-3	PSB004	6	3	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-4	PSB004	6	4	più	più	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-5	PSB004	6	5	profondo	profondo	_	_	_	_	_	linguistic	_	none	_	End=15.862	_	_	_	_
7-0	PSB005	7	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=18.035|End=19.73	_	_	_	_
8-0	PSB003	8	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=19.974|End=20.522	_	_	_	_
9-0	PSB004	9	0	è:	è	_	_	_	_	_	linguistic	_	none	_	Begin=20.522	0x1	_	_	_
9-1	PSB004	9	1	difficile	difficile	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	PSB004	9	2	e:h	eh	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	_
