token_id	speaker	tu_id	span	form	type	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB005	0	perché	perché	linguistic	none	_	Begin=0.01	_	_	_	_
0-1	PSB005	0	tu	tu	linguistic	none	_	_	_	_	_	_
0-2	PSB005	0	c~	c~	linguistic	none	Interrupted=Yes	_	_	_	_	_
0-3	PSB005	0	hai	hai	linguistic	none	_	_	_	_	_	_
0-4	PSB005	0	due	due	linguistic	none	_	_	_	_	_	_
0-5	PSB005	0	figlie	figlie	linguistic	none	_	_	_	_	_	_
0-6	PSB005	0	hai	hai	linguistic	none	_	_	_	_	_	_
0-7	PSB005	0	detto	detto	linguistic	none	_	_	_	_	_	_
0-8	PSB005	0	no?	no	linguistic	none	Intonation=rising	End=2.224	_	_	_	_
1-0	PSB037	1	sì	sì	linguistic	none	_	Begin=2.53|End=2.86	_	_	_	_
2-0	PSB005	2	cosa::	cosa	linguistic	none	_	Begin=2.9	3x2	_	_	_
2-1	PSB005	2	cosa	cosa	linguistic	none	_	_	_	_	_	_
2-2	PSB005	2	fanno	fanno	linguistic	none	_	_	_	_	_	_
2-3	PSB005	2	le	le	linguistic	none	_	_	_	_	_	_
2-4	PSB005	2	tue	tue	linguistic	none	_	_	_	_	_	_
2-5	PSB005	2	figlie?	figlie	linguistic	none	Intonation=rising	End=4.89	_	_	_	_
3-0	PSB037	3	allora	allora	linguistic	none	_	Begin=6.481	_	_	_	_
3-1	PSB037	3	°eh°	eh	linguistic	none	Volume=low	_	_	_	_	_
3-2	PSB037	3	due	due	linguistic	none	_	_	_	_	_	_
3-3	PSB037	3	figlie	figlie	linguistic	none	_	End=8.109	_	_	_	_
4-0	PSB005	4	mhmh	mhmh	linguistic	none	_	Begin=8.13|End=8.52	_	_	_	_
5-0	PSB037	5	io	io	linguistic	none	_	Begin=8.52	_	_	_	_
5-1	PSB037	5	secondo	secondo	linguistic	none	_	_	_	_	_	_
5-2	PSB037	5	me:	me	linguistic	none	_	_	1x1	_	_	_
5-3	PSB037	5	{P}	{P}	shortpause	none	_	_	_	_	_	_
5-4	PSB037	5	cerchiamo	cerchiamo	linguistic	none	_	_	_	_	_	_
5-5	PSB037	5	tutte	tutte	linguistic	none	_	_	_	_	_	_
5-6	PSB037	5	laurearsi	laurearsi	linguistic	none	_	End=12.1	_	_	_	_
6-0	PSB005	6	mhmh	mhmh	linguistic	none	_	Begin=12.46|End=12.939	_	_	_	_
7-0	PSB005	7	è	è	linguistic	none	_	Begin=13.31	_	_	_	_
7-1	PSB005	7	[importante]	importante	linguistic	none	_	End=14.091	_	_	_	0-10(0)
8-0	PSB037	8	[eh	eh	linguistic	none	_	Begin=13.44	_	_	_	0-2(0)
8-1	PSB037	8	que~]	que~	linguistic	none	Interrupted=Yes	_	_	_	_	0-4(0)
8-2	PSB037	8	que~	que~	linguistic	none	Interrupted=Yes	_	_	_	_	_
8-3	PSB037	8	questo	questo	linguistic	none	_	_	_	_	_	_
8-4	PSB037	8	era	era	linguistic	none	_	_	_	_	_	_
8-5	PSB037	8	il	il	linguistic	none	_	_	_	_	_	_
8-6	PSB037	8	mio:	mio	linguistic	none	_	_	2x1	_	_	_
8-7	PSB037	8	sognare	sognare	linguistic	none	_	End=15.68	_	_	_	_
9-0	PSB005	9	mhmh	mhmh	linguistic	none	_	Begin=15.83|End=16.201	_	_	_	_
10-0	PSB037	10	però	però	linguistic	none	_	Begin=16.45	_	_	_	_
10-1	PSB037	10	{P}	{P}	shortpause	none	_	_	_	_	_	_
10-2	PSB037	10	prim(o)	primo	linguistic	none	_	_	_	_	4-5(0)	_
10-3	PSB037	10	già	già	linguistic	none	_	_	_	_	_	_
10-4	PSB037	10	riuscita	riuscita	linguistic	none	_	End=19.096	_	_	_	_
11-0	PSB005	11	sì	sì	linguistic	none	_	Begin=19.29	_	_	_	_
11-1	PSB005	11	sì	sì	linguistic	none	_	_	_	_	_	_
11-2	PSB005	11	sì	sì	linguistic	none	_	End=19.977	_	_	_	_
12-0	PSB037	12	adesso	adesso	linguistic	none	_	Begin=20.17	_	_	_	_
12-1	PSB037	12	{P}	{P}	shortpause	none	_	_	_	_	_	_
12-2	PSB037	12	stiamo	stiamo	linguistic	none	_	_	_	_	_	_
12-3	PSB037	12	facendo	facendo	linguistic	none	_	_	_	_	_	_
