token_id	speaker	tu_id	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PSB005	0	0	e	e	_	_	_	_	_	linguistic	_	none	_	Begin=0.18	_	_	_	_
0-1	PSB005	0	1	se	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PSB005	0	2	ti	ti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PSB005	0	3	se	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PSB005	0	4	ti	ti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PSB005	0	5	serve	serve	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PSB005	0	6	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	PSB005	0	7	dirmi	dirmi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-8	PSB005	0	8	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-9	PSB005	0	9	parola	parola	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-10	PSB005	0	10	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-11	PSB005	0	11	ingle:se	inglese	_	_	_	_	_	linguistic	_	none	_	_	4x1	_	_	_
0-12	PSB005	0	12	perché	perché	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-13	PSB005	0	13	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-14	PSB005	0	14	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-15	PSB005	0	15	s~	s~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
0-16	PSB005	0	16	[non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(0)
0-17	PSB005	0	17	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
0-18	PSB005	0	18	so]no	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
0-19	PSB005	0	19	problemi	problemi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-20	PSB005	0	20	<assolutamen[te>]	assolutamente	_	_	_	_	_	linguistic	_	none	_	End=6.989	_	Slow=0-13(0)	_	11-13(1)
1-0	PSB018	1	0	[eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=4.22	_	_	_	0-2(0)
1-1	PSB018	1	1	sì]	sì	_	_	_	_	_	linguistic	_	none	_	End=5.022	_	_	_	0-2(0)
2-0	PSB018	2	0	[sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=6.717	_	_	_	0-2(1)
2-1	PSB018	2	1	s]ì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(1)
2-2	PSB018	2	2	perché:	perché	_	_	_	_	_	linguistic	_	none	_	_	5x1	_	_	_
2-3	PSB018	2	3	[i]l	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(2)
2-4	PSB018	2	4	mio	mio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	PSB018	2	5	italiano	italiano	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PSB018	2	6	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-7	PSB018	2	7	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-8	PSB018	2	8	abbastanza	abbastanza	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-9	PSB018	2	9	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-10	PSB018	2	10	fare	fare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-11	PSB018	2	11	qualche	qualche	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-12	PSB018	2	12	ricerca,	ricerca	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=12.13	_	_	_	_
3-0	PSB005	3	0	[sì]	sì	_	_	_	_	_	linguistic	_	none	_	Begin=8.065|End=8.489	_	_	_	0-2(2)
4-0	PSB018	4	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=12.58	_	_	_	_
4-1	PSB018	4	1	[ma:]	ma	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	0-2(3)
4-2	PSB018	4	2	ah	ah	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-3	PSB018	4	3	io:	io	_	_	_	_	_	linguistic	_	none	_	End=15.935	1x1	_	_	_
5-0	PSB005	5	0	no	no	_	_	_	_	_	linguistic	_	none	_	Begin=13.31	_	_	_	_
5-1	PSB005	5	1	m[a	ma	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	1-2(3)
5-2	PSB005	5	2	(mi	mi	_	_	_	_	_	linguistic	_	none	_	_	_	_	0-2(0)	0-2(3)
5-3	PSB005	5	3	mi)]	mi	_	_	_	_	_	linguistic	_	none	_	End=14.554	_	_	0-2(0)	0-2(3)
6-0	PSB018	6	0	capisco	capisco	_	_	_	_	_	linguistic	_	none	_	Begin=16.17	_	_	_	_
6-1	PSB018	6	1	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	PSB018	6	2	tipo	tipo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-3	PSB018	6	3	d(e)	de	_	_	_	_	_	linguistic	_	none	_	_	_	_	1-2(0)	_
6-4	PSB018	6	4	ricerca	ricerca	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-5	PSB018	6	5	questo	questo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-6	PSB018	6	6	è	è	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
6-7	PSB018	6	7	[(.)]	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	X(4)
6-8	PSB018	6	8	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-9	PSB018	6	9	forse:	forse	_	_	_	_	_	linguistic	_	none	_	End=21.09	4x1	_	_	_
7-0	PSB005	7	0	[mhmh]	mhmh	_	_	_	_	_	linguistic	_	none	_	Begin=19.304|End=19.641	_	_	_	0-4(4)
8-0	PSB018	8	0	persone	persone	_	_	_	_	_	linguistic	_	none	_	Begin=21.58	_	_	_	_
8-1	PSB018	8	1	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-2	PSB018	8	2	io:	io	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
8-3	PSB018	8	3	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-4	PSB018	8	4	con	con	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-5	PSB018	8	5	il:	il	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
8-6	PSB018	8	6	livello	livello	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-7	PSB018	8	7	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-8	PSB018	8	8	italiano	italiano	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
8-9	PSB018	8	9	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
8-10	PSB018	8	10	basso	basso	_	_	_	_	_	linguistic	_	none	_	End=28.0	_	_	_	_
9-0	PSB018	9	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=28.4	_	_	_	_
9-1	PSB018	9	1	<forse	forse	_	_	_	_	_	linguistic	_	none	_	_	_	Slow=0-5(0)	_	_
9-2	PSB018	9	2	può	può	_	_	_	_	_	linguistic	_	none	_	_	_	Slow=0-3(0)	_	_
9-3	PSB018	9	3	aiutare>	aiutare	_	_	_	_	_	linguistic	_	none	_	_	_	Slow=0-7(0)	_	_
9-4	PSB018	9	4	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-5	PSB018	9	5	[st]en~	sten~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	0-2(5)
9-6	PSB018	9	6	straniere	straniere	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-7	PSB018	9	7	m:h	mh	_	_	_	_	_	linguistic	_	none	_	End=34.5	0x1	_	_	_
10-0	PSB005	10	0	[mh]	mh	_	_	_	_	_	linguistic	_	none	_	Begin=31.902|End=32.25	_	_	_	0-2(5)
11-0	PSB018	11	0	in	in	_	_	_	_	_	linguistic	_	none	_	Begin=34.946	_	_	_	_
11-1	PSB018	11	1	fu~	fu~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
11-2	PSB018	11	2	no	no	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-3	PSB018	11	3	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-4	PSB018	11	4	futuro	futuro	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-5	PSB018	11	5	ma	ma	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-6	PSB018	11	6	sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-7	PSB018	11	7	sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-8	PSB018	11	8	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-9	PSB018	11	9	fu[turo]	futuro	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	2-6(6)
11-10	PSB018	11	10	e:hm	ehm	_	_	_	_	_	linguistic	_	none	_	End=38.67	0x1	_	_	_
12-0	PSB005	12	0	[°sì	sì	_	_	_	_	_	linguistic	_	none	Volume=low	Begin=37.087	_	_	_	0-2(6)
12-1	PSB005	12	1	sì°]	sì	_	_	_	_	_	linguistic	_	none	Volume=low	End=37.515	_	_	_	0-2(6)
13-0	PSB018	13	0	study	study	_	_	_	_	_	linguistic	_	all	Language=NO_ISO_CODE|Variation=Token	Begin=40.39|End=40.81	_	_	_	_
14-0	PSB005	14	0	sì	sì	_	_	_	_	_	linguistic	_	none	_	Begin=41.42|End=41.7	_	_	_	_
15-0	PSB018	15	0	stu~	stu~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	Begin=41.902	_	_	_	_
15-1	PSB018	15	1	st[udio]	studio	_	_	_	_	_	linguistic	_	none	_	End=42.946	_	_	_	2-6(7)
16-0	PSB005	16	0	[studio]	studio	_	_	_	_	_	linguistic	_	none	_	Begin=42.43	_	_	_	0-6(7)
16-1	PSB005	16	1	studio	studio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
16-2	PSB005	16	2	[sì	sì	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(8)
16-3	PSB005	16	3	sì]	sì	_	_	_	_	_	linguistic	_	none	_	End=43.793	_	_	_	0-2(8)
17-0	PSB018	17	0	[studio:]	studio	_	_	_	_	_	linguistic	_	none	_	Begin=43.207	5x1	_	_	0-6(8)
17-1	PSB018	17	1	le	le	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-2	PSB018	17	2	lingue	lingue	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-3	PSB018	17	3	e:	e	_	_	_	_	_	linguistic	_	none	_	_	0x1	_	_	_
17-4	PSB018	17	4	esa[ttame]nte	esattamente	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	3-8(9)
17-5	PSB018	17	5	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-6	PSB018	17	6	studio	studio	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-7	PSB018	17	7	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-8	PSB018	17	8	lingua	lingua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
